QE ID,Implementation Phase,Latest_Date_Closed,Any_Blanks
QE-006511,n/a,2023-11-14,True
QE-006511,phase 1,2023-11-30,False
QE-006511,phase i,2024-04-10,True
QE-006520,n/a,2024-05-21,True
QE-006522,n/a,2024-03-06,False
QE-006530,n/a,2024-03-11,False
QE-006531,n/a,2023-12-20,False
QE-006532,*pdufa,2024-01-09,False
QE-006532,*post p,2024-03-06,False
QE-006532,*pre pd,2023-09-21,False
QE-006532,n/a,2024-02-06,False
QE-006533,*pdfua,2024-02-02,False
QE-006533,*post p,2024-02-02,False
QE-006533,n/a,2024-03-15,False
QE-006534,n/a,2024-01-09,False
QE-006534,post-im,2024-01-09,False
QE-006534,pre-imp,2023-10-25,False
QE-006535,n/a,2024-03-29,True
QE-006537,n/a,2024-04-24,True
QE-006537,post-im,2023-11-07,False
QE-006538,n/a,2023-09-28,False
QE-006539,n/a,2023-10-24,True
QE-006541,n/a,2024-02-25,False
QE-006554,n/a,2023-09-26,False
QE-006556,n/a,2023-12-06,True
QE-006557,n/a,2024-05-01,False
QE-006560,n/a,2024-05-31,False
QE-006582,n/a,2024-02-05,False
QE-006583,n/a,2024-02-02,True
QE-006587,n/a,2023-12-20,False
QE-006588,n/a,2024-02-06,False
QE-006589,n/a,2024-01-23,False
QE-006590,n/a,2024-03-28,False
QE-006591,n/a,2024-04-03,False
QE-006596,n/a,2023-11-13,False
QE-006603,n/a,2024-02-07,False
QE-006604,n/a,2023-09-19,False
QE-006605,n/a,2023-09-19,False
QE-006608,n/a,2023-09-07,False
QE-006609,n/a,2024-01-23,False
QE-006611,n/a,2024-04-26,True
QE-006612,n/a,2024-04-18,True
QE-006613,n/a,2024-03-28,False
QE-006616,n/a,2023-12-08,False
QE-006619,n/a,2024-04-18,True
QE-006623,n/a,2024-06-14,True
QE-006625,n/a,2023-12-08,False
QE-006627,n/a,2023-11-17,False
QE-006629,n/a,2023-10-05,False
QE-006630,n/a,2024-05-21,True
QE-006633,n/a,2023-10-30,False
QE-006645,n/a,2023-09-20,False
QE-006647,n/a,2023-08-28,False
QE-006648,n/a,2023-08-29,False
QE-006656,n/a,2023-09-14,False
QE-006660,n/a,2024-01-30,True
QE-006662,n/a,2023-10-02,False
QE-006665,n/a,2023-10-26,False
QE-006666,n/a,2024-05-16,True
QE-006667,n/a,2024-02-28,True
QE-006680,n/a,2024-02-06,False
QE-006680,post pd,2024-03-11,False
QE-006683,n/a,2023-10-26,False
QE-006686,n/a,2024-06-18,False
QE-006687,n/a,2024-02-20,False
QE-006689,n/a,2024-01-24,False
QE-006690,n/a,2023-10-19,True
QE-006691,n/a,2023-12-21,False
QE-006702,n/a,2024-02-01,False
QE-006705,n/a,2023-11-21,False
QE-006707,n/a,2023-12-13,False
QE-006709,n/a,,True
QE-006710,n/a,2024-05-31,True
QE-006711,n/a,2024-08-02,True
QE-006724,n/a,2024-01-04,False
QE-006725,n/a,2024-01-04,False
QE-006726,n/a,2023-12-22,False
QE-006727,n/a,2024-05-14,False
QE-006728,n/a,2024-01-08,False
QE-006729,n/a,,True
QE-006730,n/a,2023-10-25,False
QE-006731,n/a,2023-10-25,False
QE-006732,n/a,2023-12-18,True
QE-006733,n/a,,True
QE-006734,n/a,2024-02-09,False
QE-006735,n/a,2023-11-13,False
QE-006736,n/a,2024-03-11,False
QE-006737,n/a,2024-02-27,False
QE-006738,n/a,2023-12-18,True
QE-006741,n/a,2024-02-09,False
QE-006744,n/a,,True
QE-006752,n/a,2024-05-01,False
QE-006753,n/a,2024-01-31,False
QE-006754,n/a,2023-10-05,True
QE-006755,n/a,,True
QE-006759,n/a,,True
QE-006761,n/a,2023-10-26,True
QE-006762,n/a,2024-01-12,False
QE-006763,n/a,2024-01-04,False
QE-006764,n/a,2024-02-16,False
QE-006769,n/a,2024-02-08,False
QE-006770,n/a,2024-03-26,False
QE-006772,n/.a,2024-02-05,False
QE-006772,n/a,2024-02-20,False
QE-006773,n/a,2024-04-29,False
QE-006774,n/a,2024-05-15,False
QE-006782,n/a,2024-01-23,False
QE-006793,n/a,2024-03-15,False
QE-006794,n/a,2024-03-15,False
QE-006795,n/a,2024-01-03,False
QE-006795,phase 1,2024-01-25,False
QE-006795,phase 2,2024-01-17,True
QE-006796,n/a,2024-01-10,False
QE-006796,phase 1,2024-04-01,True
QE-006796,phase 2,2024-03-18,True
QE-006797,n/a,2024-02-02,False
QE-006797,phase 1,2024-02-05,False
QE-006797,phase 2,2024-03-25,True
QE-006799,n/a,2024-06-18,True
QE-006800,n/a,2024-01-29,False
QE-006801,n/a,,True
QE-006801,na/,,True
QE-006805,n/a,2024-06-11,True
QE-006815,n/a,2024-06-06,False
QE-006816,n/a,,True
QE-006817,n/a,2024-01-30,False
QE-006818,n/a,,True
QE-006819,n/a,2024-01-16,False
QE-006820,n/a,2024-03-06,False
QE-006821,n/a,2024-02-23,False
QE-006822,n/a,2024-03-06,False
QE-006823,n/a,2024-02-28,False
QE-006824,n/a,2024-02-08,False
QE-006825,n/a,2024-02-20,True
QE-006826,n/a,2024-01-31,False
QE-006827,n/a,2024-03-15,False
QE-006828,n/a,2024-06-06,False
QE-006829,n/a,2024-02-20,False
QE-006830,n/a,2024-04-24,False
QE-006831,n/a,2024-01-30,False
QE-006832,n/a,2024-02-12,False
QE-006833,n/a,2024-02-12,False
QE-006834,n/a,,True
QE-006835,n/a,2024-01-16,False
QE-006838,n/a,2024-01-12,False
QE-006839,n/a,2023-12-06,False
QE-006841,n/a,2024-01-04,False
QE-006843,n/a,2024-01-24,False
QE-006848,n/a,2024-01-23,False
QE-006849,n/a,2024-01-22,False
QE-006850,n/a,,True
QE-006851,n/a,2024-05-21,True
QE-006852,n/a,2024-06-18,True
QE-006853,n/a,,True
QE-006856,n/a,2024-01-16,False
QE-006858,n/a,2024-05-23,False
QE-006860,n/a,2024-02-08,False
QE-006861,n/a,2024-05-08,True
QE-006865,n/a,,True
QE-006866,n/a,,True
QE-006867,n/a,2024-01-30,False
QE-006868,n/a,2024-01-18,False
QE-006869,n/a,2024-02-01,False
QE-006870,n/a,2024-02-01,False
QE-006872,n/a,2024-04-23,False
QE-006873,n/a,2024-05-22,False
QE-006874,n/a,2024-02-23,False
QE-006875,n/a,2024-06-03,True
QE-006876,n/a,2024-01-29,False
QE-006877,n/a,2024-03-07,False
QE-006878,n/a,2024-03-07,False
QE-006880,n/a,,True
QE-006882,n/a,2023-12-13,False
QE-006883,n/a,,True
QE-006884,n/a,2024-02-28,False
QE-006884,na/,2024-02-21,False
QE-006885,n/a,2024-02-28,False
QE-006885,na,2024-02-21,False
QE-006890,n/a,,True
QE-006891,n/a,,True
QE-006892,n/a,2024-03-27,False
QE-006893,n/a,2024-02-21,False
QE-006894,n/a,,True
QE-006895,n/a,2024-03-29,False
QE-006896,n/a,2024-03-01,True
QE-006897,n/a,2024-02-15,False
QE-006898,n/a,,True
QE-006900,n/a,2024-05-29,False
QE-006903,n/a,2024-05-23,True
QE-006904,n/a,2024-06-04,False
QE-006904,post-im,2024-06-04,False
QE-006908,n/a,2024-05-31,False
QE-006917,n/a,,True
QE-006918,n/a,,True
QE-006919,n/a,2024-02-26,True
QE-006920,n/a,2024-02-26,True
QE-006921,n/a,2024-03-14,False
QE-006922,n/a,2024-03-14,False
QE-006923,n/a,2024-06-13,False
QE-006938,n/a,2024-03-08,False
QE-006950,n/a,2024-03-07,False
QE-006952,n/a,2024-02-06,False
QE-006962,n/a,2024-03-21,False
QE-006963,n/a,2024-03-18,True
QE-006965,n/a,2024-04-12,True
QE-006966,n/a,2024-04-12,True
QE-006967,n/a,,True
QE-006968,n/a,2024-03-26,False
QE-006978,n/a,2024-05-16,True
QE-006982,n/a,2024-04-09,True
QE-006983,n/a,2024-04-10,True
QE-006985,n/a,2024-05-13,True
QE-006986,n/a,2024-05-09,True
QE-006987,n/a,,True
QE-006990,n/a,2024-06-18,True
QE-006993,n/a,,True
QE-006994,n/a,,True
QE-006995,n/a,,True
QE-006996,n/a,,True
QE-006997,n/a,,True
QE-006998,n/a,,True
QE-006999,n/a,,True
QE-006999,phase 1,,True
QE-006999,phase i,,True
QE-007000,n/a,,True
QE-007000,phase 1,,True
QE-007000,phase i,,True
QE-007001,n/a,,True
QE-007001,phase 1,,True
QE-007002,n/a,2024-06-13,True
QE-007003,n/a,2024-02-28,True
QE-007004,n/a,2024-05-23,False
QE-007007,n/a,2024-05-23,False
QE-007008,n/a,,True
QE-007008,na/,,True
QE-007009,n/a,,True
QE-007011,n/a,2024-06-06,True
QE-007013,n/a,,True
QE-007014,n/a,,True
QE-007015,n/a,,True
QE-007016,n/a,,True
QE-007017,n/a,,True
QE-007018,n/a,,True
QE-007022,n/a,,True
QE-007023,n/a,2024-06-12,True
QE-007028,n/a,,True
QE-007029,n/a,,True
QE-007031,n/a,,True
QE-007032,n/a,,True
QE-007033,n/a,2024-06-07,True
QE-007034,n/a,2024-06-07,True
QE-007036,n/a,2024-06-18,False
QE-007037,n/a,,True
QE-007038,n/a,,True
QE-007039,n/a,,True
QE-007040,n/a,,True
QE-007041,n/a,,True
QE-007042,n/a,,True
QE-007042,na/,,True
QE-007043,n/a,2024-05-16,False
QE-007043,phase 1,2024-04-19,False
QE-007043,phase i,2024-04-19,False
QE-007045,n/a,2024-06-18,True
QE-007046,n/a,2024-06-07,True
QE-007047,n/a,,True
QE-007048,n/a,,True
QE-007051,n/a,,True
QE-007052,n/a,,True
QE-007053,n/a,2024-04-23,False
QE-007054,n/a,,True
QE-007055,n/a,,True
QE-007056,n/a,,True
QE-007058,n/a,,True
QE-007059,n/a,2024-03-20,False
QE-007060,n/a,,True
QE-007061,n/a,,True
QE-007062,n/a,2024-03-15,False
QE-007063,n/a,,True
QE-007065,n/a,2024-05-08,False
QE-007067,n/a,2024-05-02,True
QE-007069,n/a,2024-06-17,True
QE-007070,n/a,2024-06-17,True
QE-007071,n/a,,True
QE-007072,n/a,,True
QE-007084,phase 1,,True
QE-007084,phase 2,,True
QE-007086,n/a,2024-04-10,True
QE-007089,n/a,2024-04-23,False
QE-007091,n/a,2024-06-07,False
QE-007092,n/a,,True
QE-007093,n/a,,True
QE-007096,n/a,2024-05-13,True
QE-007097,n/a,,True
QE-007098,n/a,,True
QE-007099,n/a,2024-04-11,False
QE-007100,n/a,2024-05-03,True
QE-007108,n/a,2024-04-08,False
QE-007109,n/a,2024-06-06,False
QE-007110,n/a,,True
QE-007111,n/a,,True
QE-007112,n/a,2024-05-29,True
QE-007113,n/a,,True
QE-007114,n/a,2024-05-31,True
QE-007118,n/a,,True
QE-007119,1,,True
QE-007119,phase 1,,True
QE-007119,phase 2,,True
QE-007119,phase 3,,True
QE-007121,n/a,,True
QE-007122,n/a,,True
QE-007126,n/a,,True
QE-007127,n/a,,True
QE-007129,1,,True
QE-007129,phase 1,,True
QE-007129,phase 2,,True
QE-007129,phase 3,,True
QE-007131,n/a,2024-05-06,False
QE-007133,1,,True
QE-007133,phase 1,,True
QE-007133,phase 2,,True
QE-007133,phase 3,,True
QE-007134,phase 1,,True
QE-007134,phase 2,,True
QE-007134,phase 3,,True
QE-007135,phase 1,,True
QE-007135,phase 2,,True
QE-007135,phase 3,,True
QE-007137,n/a,,True
QE-007139,n/a,,True
QE-007142,n/a,2024-05-28,True
QE-007143,n/a,2024-06-04,False
QE-007145,n/a,,True
QE-007151,n/a,2024-05-06,True
QE-007154,phase 1,,True
QE-007154,phase 2,,True
QE-007154,phase 3,,True
QE-007156,n/a,,True
QE-007157,n/a,,True
QE-007157,phase 1,,True
QE-007158,n/a,,True
QE-007159,n/a,,True
QE-007160,n/a,,True
QE-007162,n/a,2024-05-17,True
QE-007163,n/a,,True
QE-007171,n/a,2024-06-03,True
QE-007171,phase 1,,True
QE-007171,phase 2,,True
QE-007171,phase 3,,True
QE-007173,n/a,2024-06-18,True
QE-007175,n/a,,True
QE-007180,phase 1,,True
QE-007180,phase 2,,True
QE-007180,phase 3,,True
QE-007196,n/a,,True
QE-007196,phase 2,,True
QE-007202,phase 1,2024-06-13,True
QE-007202,phase 2,,True
QE-007202,phase 3,,True
QE-007203,phase 1,,True
QE-007208,phase 1,2024-06-18,True
QE-007208,phase 2,,True
QE-007222,n/a,,True
QE-007223,n/a,,True
QE-007231,n/a,,True
QE-007232,n/a,2024-06-18,True
